location_name,address,day,times,date_added,area,latitude,longitude
Bar 101,"18 Elliott Street, Auckland CBD, Auckland 1010",Friday 13 August,11.33 pm - 1.15 am,18-Aug,Auckland,-36.849681,174.7640386
Sky City Casino,72 Victoria Street West Auckland Central,Saturday 14 August,1.15 am - 3.00 am,18-Aug,Auckland,-36.849150800000004,174.761732819809
Bar 101,"18 Elliott Street, Auckland CBD, Auckland 1010",Saturday 14 August,3.00 am - 3.15 am,18-Aug,Auckland,-36.849681,174.7640386
McDonalds Glenfield,"Cnr Glenfield &, Kaipatiki Road, Glenfield, 0629",Saturday 14 August,1.00 am - 1.15 am,18-Aug,Auckland,NA,NA
Pak n Save Wairau Road,"30 Wairau Road, Wairau Valley, Auckland 0627",Saturday 14 August,3.20 pm - 3.50 pm,18-Aug,Auckland,NA,NA
Countdown Glenfield Mall,"Cnr Bentley Ave &, Glenfield Road, Glenfield,0629",Saturday 14 August,5.00 pm - 5.15 pm,18-Aug,Auckland,NA,NA
The Good Home Birkenhhead,"83 Birkenhead Avenue, Birkenhead, 0626",Saturday 14 August,6.30 pm - 7.00 pm,18-Aug,Auckland,-36.8105389,174.72605709166663
Central Auckland Church of Christ,"52 Hepburn Street, Freemans Bay, Auckland 1011",Sunday 15 August,10.15 am - 12.02 pm,18-Aug,Auckland,-36.8531644,174.7512891
BP Birkenhead,"172-178 Mokoia Road, Birkenhead, 0626",Sunday 15 August,10.30 am - 10.45 am,18-Aug,Auckland,-36.8108495,174.7109366
Pak n Save Wairau,"30-60 Wairau Road, Glenfield, 0627",Sunday 15 August,11.00 pm - 12.00 pm,18-Aug,Auckland,-36.7697762,174.7216599
Elliot Stables,"1/41 Elliott Street, Auckland Central, 1010",Sunday 15 August,12.10 pm - 1.00 pm,18-Aug,Auckland,-36.849681,174.7640386
Latin Market near La Pachamama,"Near 179a Archers Road, Glenfield, 0629",Sunday 15 August,12.30 pm - 12.45 pm,18-Aug,Auckland,NA,NA
Glenfield Mall / Katsubi Japanese,"Glenfield Road & Downing Street, Glenfield, 0629",Sunday 15 August,1.00 pm - 2.00 pm,18-Aug,Auckland,NA,NA
The Pumphouse Theatre,"2A Manurere Avenue, Takapuna, 0622",Sunday 15 August,1.30 pm - 7.30 pm,18-Aug,Auckland,-36.7840666,174.7692868
Chartwell,"27 Chartwell Avenue, Glenfield, 0629",Sunday 15 August,5.25 pm - 5.29 pm,18-Aug,Auckland,-36.7833174,174.731682
"Countdown, Lynfield","570 Hillsborough Road, Mount Roskill, 1041",Sunday 15 August,8.00 pm - 8.15 pm,18-Aug,Auckland,NA,NA
BP Northcote,"50 Northcote Road, Northcote, Auckland 0627",Sunday 15 August,7.15 pm - 7.30 pm,18-Aug,Auckland,-36.812,174.754
Devonport Pharmacy Devonport,"33 Victoria Road, Devonport, Auckland 0624",Monday 16 August,2.15 pm - 2.30 pm,17-Aug,Auckland,-36.8310739,174.7971905
Green Bay Takeaways,"56B Godley Road, Green Bay, Auckland 0604",Monday 16 August,4.00 pm - 4.15 pm,18-Aug,Auckland,-36.9329594,174.6679484
Passion Bakery,"34 Birkdale Road, Birkdale, Auckland 0626",Monday 16 August,12.45 pm - 1.15 pm,18-Aug,Auckland,-36.8006667,174.7029909
Countdown Birkenhead,"Cnr Highbury Pass & Birkenhead Ave, Birkenhead, 0626",Monday 16 August,12.30 pm - 12.45 pm,18-Aug,Auckland,NA,NA
Pizza Hut Birkenhead,"3/75 Mokoia Road, Birkenhead, 0626",Monday 16 August,1.30 pm - 2.00 pm,18-Aug,Auckland,-36.8108495,174.7109366
Warehouse New Lynn,"7/13 Rata Street, New Lynn, Auckland 0600",Monday 16 August,7.45 am - 8.15am,18-Aug,Auckland,-36.9076765,174.6784455
Countdown Birkenhead,"Cnr Highbury Pass & Birkenhead Ave, Birkenhead, 0626",Monday 16 August,7.00 am - 7.15 am,18-Aug,Auckland,NA,NA
Avondale College,"51 Victor Street, Avondale, Auckland 1026",Monday 16 August,8.45 am - 12.00 pm,18-Aug,Auckland,-36.8917585,174.6907903
Unichem Pharmacy Birkenhead,"Birkenhead Avenue Shop 28, Highbury Shopping Centre",Tuesday 17 August,9.15 am - 9.30 am,18-Aug,Auckland,NA,NA
Auckland University of Technology,"2 Governor Fitzroy Place, Auckland Central, Auckland 1010",Tuesday 17 August,11.30 am - 1.00 pm,18-Aug,Auckland,-36.853269499999996,174.76589283955872
Mamak Malaysian Restaurant,"50 Kitchener Street, Auckland Central, 1010",Tuesday 17 August,1.15 pm - 1.30 pm,18-Aug,Auckland,-36.8483082,174.7677752
Remuera Exchange,"2A Dilworth Avenue, Remura, Auckland 1050",Tuesday 17 August,1.33 pm - 1.35 pm,18-Aug,Auckland,NA,NA
